ID	TITLE	CREATOR	FORMAT	PUBLICATION DATES	CONTRIBUTORS	PUBLICATION	PHYSICAL DETAILS	ISBNS	OCLC	SERIES	ISSNS	PRECEDING TITLES	SUCCEEDING TITLES	CREDITS	CARTOGRAPHIC DATA	FINDING AIDS
83	Data mining, intrusion detection, information assurance, and data networks security 2005 : 28-29 March 2005, Orlando, Florida, USA	Belur V. Dasarathy, chair/editor ; sponsored and published by SPIE--the International Society for Optical Engineering ; cooperating organizations, Ball Aerospace & Technologies Corporation (USA) [and others]	Books		Dasarathy, Belur V,Society of Photo-optical Instrumentation Engineers,Ball Aerospace & Technologies Corporation (USA),SPIE Digital Library,Society of Photographic Instrumentation Engineers,SPIE (Society),	Bellingham, Wash. : SPIE, [2005] ©2005		0819457973, 9780819457974	ocm60530486	Proceedings of SPIE--the International Society for Optical Engineering ; v. 5812,						
84	Model-checking based data retrieval : an application to semistructured and temporal data	Elisa Quintarelli	Books			Berlin ; New York : Springer, [2004] ©2004		9783540209713, 3540209719	ocm54374693	Lecture notes in computer science. 2917,						
85	Science and technology data	Industry and Science Policy Sector, Industry Canada	Books		Canada. Industry and Science Policy Sector,	[Ottawa] : Industry and Science Policy Sector, Industry Canada, [1996] ©1996		9780662625575, 0662625579	ocm36192177							
86	Documentation of the VAS data processing software	by James P. Nelson	Books		University of Wisconsin--Madison. Space Science and Engineering Center,	Madison, WI. : University of Wisconsin--Madison, 1984.			ocm73702989							
87	Engineering software II : proceedings of the Second International Conference on Engineering Software, held at Imperial College of Science and Technology, London, March 1981	edited by R.A. Adey	Books		Adey, R. A. (Robert A.), 1948-,	Southampton [Eng.] : CML Publications, 1981.		9780905451039, 0905451031	ocm08314997							
88	Logical foundations of computer science : 4th International Symposium, LFCS '97, Yaroslavl, Russia, July 6-12, 1997 : proceedings	Sergei Adian, Anil Nerode (eds.)	Books		Adi︠a︡n, S. I,Nerode, Anil, 1932-,	Berlin ; New York : Springer, [1997] ©1997		9783540630456, 3540630457	ocm36877521	Lecture notes in computer science. 1234,						
89	Power spectral analysis of simulated SMS data : an interim report on NOAA grant NG-26-72	by F.G. Stremler and G.R. Redinbo	Books		Redinbo, G. Robert,University of Wisconsin--Madison. Space Science and Engineering Center,	Madison, WI. : University of Wisconsin--Madison, 1973.			ocm71322825							
90	Survival analysis : state of the art	edited by John P. Klein and Prem K. Goel	Books		Klein, John P., 1950-2013,Goel, Prem K., 1943-,	Dordrecht ; Boston : Kluwer Academic Publishers, [1992] ©1992		9780792316343, 0792316347	ocm25200402	NATO ASI series. Applied sciences ; no. 211,						
91	Year 2000 computing crisis : time is running out for federal agencies to prepare for the new millennium : statement of Joel C. Willemssen, Director, Information Resources Management, Accounting and Information Management Division, before the Subcommittee on Government Management, Information and Technology, House Committee on Government Reform and Oversight, and the Subcommittee on Technology, House Committee on Science	United States General Accounting Office	Books		United States. General Accounting Office,United States. Government Accountability Office,United States. Auditor for Interior Department,United States. Auditor for Navy Department,United States. Auditor for Post-Office Department,United States. Auditor for State and Other Departments,United States. Auditor for Treasury Department,United States. Auditor for War Department,United States. Comptroller of the Treasury,	Washington, D.C. : The Office ; Gaithersburg, MD (P.O. Box 6015, Gaithersburg 20884-6015) : The Office [distributor], [1997]			ocm38479269	Testimony ; GAO/T-AIMD-97-129,						
92	Benthic habitat mapping in the Olympic Coast National Marine Sanctuary : classification of side scan sonar data from survey HMPR-108-2002-01 : version 1	Steven S. Intelmann and G.R. Cochrane	Books		Cochrane, Guy R,United States. National Ocean Service. Office of National Marine Sanctuaries,	Silver Spring, Md. : U.S. Dept. of Commerce, National Oceanic and Atmospheric Administration, National Ocean Service, [Office of Ocean and Coastal Resources Management], Office of National Marine Sanctuaries, [2006]			ocm65171974	Marine sanctuaries conservation series ; ONMS-06-01,						
93	Development of a longitudinal file of financial, faculty, enrollment, and institutional characteristics data	Kevin J. Gilmartin	Books		American Institutes for Research,National Center for Education Statistics,National Center for Educational Statistics,United States. Office of Educational Research and Improvement. Center for Education Statistics,United States. Office of Educational Research and Improvement. Center for Statistics,Institute of Education Sciences (U.S.),United States. Department of Education,United States. Department of Health, Education, and Welfare. Education Division,United States. Office of Educational Research and Improvement,	Palo Alto, Calif. : American Institutes for Research in the Behavioral Sciences, [1980]			ocm22531727							
94	Probabilities, data reduction and error analysis in the physical sciences	Daniel Taupin	Books			Les Ulis Cedex, France : Editions de physique, [1988]		9782868830883, 2868830889	ocm18653044	Monographies de physique,						
95	NCCS science highlights		Journals, Magazines, Newspapers	FY93-	NASA Center for Computational Sciences,	Greenbelt, Md. : National Aeronautics and Space Administration, Goddard Space Flight Center, [1993-]			ocm29822811		1085-1208					
96	The data compression book	Mark Nelson, Jean-Loup Gailly	Books		Gailly, Jean-Loup,	Second edition. New York : M&T Books, [1996] ©1996		9781558514348, 1558514341	ocm33104183							
97	Answers to science questions from the Stop faking it! guy	William C. Robertson ; illustrations by Brian Diskin	Books			Arlington, Va. : NSTA Press, [2009] ©2009		9781935155249, 1935155245, 9781936137992, 1936137992	ocn421147936							
98	Longitude of observatory of John C. Green School of Science, Princeton, N.J.		Books			[Washington] : [publisher not identified], 1880.				ProQuest U.S. Executive Branch Documents, 1789-1909 ; N1405-24.3,						
99	Consumer online privacy : hearing before the Committee on Commerce, Science, and Transportation, United States Senate, One Hundred Eleventh Congress, second session, July 27, 2010		Books			Washington : U.S. G.P.O. : For sale by the Supt. of Docs., U.S. G.P.O., 2011.		9780160893803, 0160893801	ocn747969190	S. hrg. ; 111-1038,						
100	Estonian social science online		Journals, Magazines, Newspapers	1 (1999)-	Tartu Ülikool. Sotsiaalteaduskond,Tartu Ülikool. Sotsiaal- ja haridusteaduskond,	Tartu, Estonia : [Faculty of Social Sciences, University of Tartu, 1999]-			ocm55670263							
101	Data structures and algorithms for game developers	Allen Sherrod	Books			1st ed. Boston, Mass. : Charles River Media, c2007. Boston, Mass. : Charles River Media, c2007.		9781584506638, 1584506636	ocn290580235							
102	Algebraic methodology and software technology : 9th international conference, AMAST 2002, Saint-Gilles-les-Bains, Reunion Island, France, September 9-13, 2002 : proceedings	Hélène Kirchner, Christophe Ringeissen (eds.)	Books		Kirchner, H. (Hélène),Ringeissen, Christophe, 1967-,	Berlin ; New York : Springer, [2002] ©2002		9783540441441, 3540441441	ocm50334060	Lecture notes in computer science ; 2422,						
103	The common thread : a story of science, politics, ethics, and the human genome	John Sulston, Georgina Ferry	Books		Ferry, Georgina, author,	Washington, District of Columbia : Joseph Henry Press, 2002. ©2002		1280209577, 9786610209576, 0309500702	ocm52779224							
104	Educating teachers of science, mathematics, and technology : new practices for the new millennium	Committee on Science and Mathematics Teachers Preparation, Center for Education, National Research Council	Books		National Research Council (U.S.). Committee on Science and Mathematics Teacher Preparation,	Washington, DC : National Academy Press, [2001] ©2001		9780309501422, 0309501423, 0309070333, 9780309070331	ocm55641399							
105	Data integration in the life sciences : 8th International Conference, DILS 2012, College Park, MD, USA, June 28-29, 2012. Proceedings	Olivier Bodenreider, Bastien Rance (eds.)	Books		Bodenreider, Olivier,Rance, Bastien,	Berlin ; New York : Springer, [2012] ©2012		9783642310409, 3642310400, 9783642310393	ocn797966051	Lecture notes in computer science. Lecture notes in bioinformatics,Lecture notes in computer science ; 7348,LNCS sublibrary. Bioinformatics,Lecture notes in computer science. Lecture notes in bioinformatics,LNCS sublibrary. Bioinformatics,						
106	Docker for data science building scalable and extensible data infrastructure around the Jupyter Notebook Server	Joshua Cook	Books			[S.l.] : Apress, 2017.		9781484230121, 1484230124, 9781484230114, 1484230116	on1002185347							
107	Assessing policies for retirement income : needs for data, research, and models	Constance F. Citro and Eric A. Hanushek, editors ; Panel on Retirement Income Modeling, Committee on National Statistics, Commission on Behavioral and Social Sciences and Education, National Research Council	Books		Citro, Constance F. (Constance Forbes), 1942-,Hanushek, Eric A. (Eric Alan), 1943-,National Research Council (U.S.). Panel on Retirement Income Modeling,	Washington, D.C. : National Academy Press, 1997.		0585023522, 9780585023526, 0309056276, 9780309056274	ocm42329003							
108	Agreement on the rescue of astronauts, the return of astronauts, and the return of objects launched into outer space; analysis and background data	[prepared by Eilene Galloway]	Books		United States. Congress. Senate. Committee on Aeronautical and Space Sciences,United States. Congress. Senate. Committee on Commerce, Science, and Transportation. Subcommittee on Science, Technology, and Space,	Washington : U.S. Govt. Print. Off., 1968.			ocm00006904							
109	Data modeling essentials : analysis, design, and innovation	Graeme C. Simsion	Books			New York : Van Nostrand Reinhold, [1994] ©1994		9780442016548, 0442016549	ocm29033342	VNR computer library,						
110	Experimental evaluation of dynamic data allocation strategies in a distributed database with changing workloads	Anna Brunstrom, Scott T. Leutenegger, Rahul Simha	Books		Leutenegger, Scott T,Simha, Rahul,Institute for Computer Applications in Science and Engineering,	Hampton, VA : Institute for Computer Applications in Science and Engineering, NASA Langley Research Center ; [Springfield, Va. :] : [National Technical Information Service, distributor], [1995]			ocm32826987	NASA contractor report ; NASA CR-195024,ICASE report ; no. 95-2,						
111	Trends '93 : a compendium of data on global change	Thomas A. Boden ... [and others], editors ; production editor, Gay Marie Logsdon	Books		Boden, Thomas A,Carbon Dioxide Information Analysis Center (U.S.),World Data Center-A for Atmospheric Trace Gases,	Oak Ridge, Tenn. : Carbon Dioxide Information Analysis Center, World Data Center-A for Atmospheric Trace Gases, Environmental Sciences Division, Oak Ridge National Laboratory, [1994]			ocm31626371	Environmental Sciences Division publication ; no. 4195,						
112	Statistics for data science : leverage the power of statistics for data analysis, classification, regression, machine learning, and neural networks	James D. Miller	Books			Birmingham, UK : Packt Publishing, 2017. ©2017		9781788295345, 178829534X, 9781788290678	on1017754186							
